Paket_id,Vikt,Förtjänst,Deadline
2241323127,8.6,8,-4
2241323130,2.4,5,6
2241323133,9.2,1,1
2241323139,5.1,5,2
2241323140,3.0,1,5
2241323144,2.7,6,8
2241323150,1.6,6,1
2241323155,2.2,4,4
2241323157,3.1,8,9
2241323159,10.1,6,3
2241323165,5.4,7,9
2241323168,1.5,3,9
2241323174,0.2,5,9
2241323176,0.6,6,1
2241323178,1.4,6,4
2241323183,1.7,5,5
2241323189,10.8,9,1
2241323190,3.0,1,1
2241323196,9.0,9,6
2241323199,11.2,7,9
2241323204,4.4,1,3
2241323210,4.2,9,7
2241323212,10.9,3,5
2241323216,9.4,3,5
2241323219,9.0,9,3
2241323225,9.0,9,-1
2241323227,7.4,8,1
2241323232,3.2,8,4
2241323238,8.1,9,5
2241323244,5.3,5,3
2241323246,2.3,3,4
2241323250,1.9,9,-3
2241323253,2.4,3,4
2241323254,8.4,3,1
2241323256,0.5,5,-5
2241323259,2.7,4,0
2241323265,1.0,6,7
2241323269,3.6,8,0
2241323273,1.4,2,-1
2241323274,8.4,3,1
2241323278,7.1,7,9
2241323280,5.0,3,-5
2241323284,1.5,6,6
2241323288,4.3,6,6
2241323292,10.1,8,0
2241323298,6.9,5,6
2241323300,12.0,6,9
2241323304,4.6,2,2
2241323307,2.9,5,8
2241323311,2.7,3,2
2241323313,6.7,9,4
2241323319,0.5,6,5
2241323322,8.9,5,7
2241323323,7.6,2,9
2241323327,10.1,8,4
2241323331,0.9,4,5
2241323337,2.4,6,4
2241323342,11.9,9,0
2241323346,9.5,1,6
2241323348,5.9,6,7
2241323350,0.5,6,8
2241323354,3.6,4,-1
2241323360,10.6,2,2
2241323365,5.0,6,6
2241323369,9.1,5,6
2241323371,8.9,4,0
2241323374,2.4,5,0
2241323380,3.5,9,3
2241323382,2.3,5,2
2241323383,6.7,5,7
2241323385,1.3,4,4
2241323387,5.0,4,8
2241323389,1.0,5,4
2241323393,2.5,3,1
2241323399,4.2,6,3
2241323403,10.9,8,9
2241323404,1.3,6,2
2241323410,3.9,7,8
2241323415,2.6,4,9
2241323417,11.8,3,2
2241323418,11.1,4,4
2241323419,2.6,9,9
2241323424,2.3,3,5
2241323429,10.2,8,9
2241323432,10.9,7,2
2241323436,2.9,5,1
2241323438,6.2,5,9
2241323442,0.9,3,7
2241323447,3.6,7,8
2241323449,11.1,7,3
2241323452,7.1,9,3
2241323456,2.6,6,8
2241323458,9.9,2,3
2241323462,11.7,2,3
2241323464,1.2,9,0
2241323466,1.7,2,8
2241323470,5.6,5,5
2241323472,2.4,3,5
2241323475,2.3,9,6
2241323481,10.1,6,2
2241323485,7.3,3,2
2241323490,3.1,9,-4
2241323493,1.6,3,5
2241323495,0.5,7,7
2241323500,8.0,9,1
2241323501,9.2,4,-5
2241323505,11.3,4,0
2241323510,7.9,2,5
2241323513,2.2,5,4
2241323515,11.1,5,0
2241323518,11.9,8,-3
2241323524,4.9,7,2
2241323529,2.8,3,7
2241323532,9.7,3,-2
2241323538,9.5,3,3
2241323544,8.4,3,8
2241323546,6.7,4,6
2241323550,9.1,7,8
2241323551,4.0,3,-2
2241323552,8.6,6,9
2241323558,10.4,1,0
2241323559,11.2,9,5
2241323564,5.6,6,2
2241323565,2.8,2,3
2241323570,11.8,2,5
2241323576,3.8,7,9
2241323579,1.3,4,9
2241323584,9.2,5,-3
2241323589,2.3,2,5
2241323591,0.3,4,1
2241323597,6.1,1,2
2241323601,7.0,5,0
2241323605,3.8,8,7
2241323610,1.3,5,1
2241323611,0.9,4,1
2241323615,9.9,3,3
2241323621,1.6,5,5
2241323626,0.6,3,6
2241323629,11.2,1,0
2241323633,11.7,9,5
2241323638,11.3,2,4
2241323644,0.7,5,0
2241323646,2.0,4,7
2241323652,3.3,6,5
2241323657,1.8,6,9
2241323662,5.0,1,7
2241323666,8.6,1,5
2241323672,2.8,9,-4
2241323678,7.1,7,5
2241323682,8.8,7,6
2241323683,11.1,2,-2
2241323687,6.2,8,0
2241323692,2.1,6,5
2241323698,4.1,4,-2
2241323704,1.5,6,5
2241323707,6.7,1,9
2241323711,0.4,5,9
2241323712,0.2,6,2
2241323718,5.0,3,9
2241323723,3.3,8,9
2241323728,1.1,7,0
2241323734,1.8,1,-3
2241323736,10.2,1,7
2241323740,7.1,9,-2
2241323745,1.8,6,2
2241323749,2.1,8,3
2241323752,11.8,3,0
2241323757,8.2,8,4
2241323761,4.0,2,5
2241323767,3.1,1,-3
2241323772,11.0,8,3
2241323778,0.6,2,1
2241323783,4.1,1,8
2241323785,1.5,4,8
2241323787,3.0,6,9
2241323791,10.7,8,1
2241323795,1.2,6,1
2241323801,10.6,6,1
2241323807,3.6,9,2
2241323808,10.1,8,9
2241323813,6.8,6,0
2241323815,0.7,4,9
2241323818,8.8,9,8
2241323824,11.0,8,-4
2241323828,4.7,3,-5
2241323833,0.9,6,9
2241323836,2.8,1,8
2241323839,4.2,4,7
2241323845,4.4,9,3
2241323848,4.3,7,6
2241323853,2.4,8,4
2241323858,5.3,8,9
2241323861,11.2,1,-2
2241323863,5.6,5,8
2241323869,0.9,5,7
2241323872,1.2,3,0
2241323875,3.3,6,4
2241323877,9.3,2,0
2241323881,5.1,5,8
2241323886,2.1,2,4
2241323888,2.0,2,0
2241323894,10.2,4,-5
2241323899,0.9,3,6
2241323900,7.3,1,7
2241323903,7.2,9,9
2241323904,1.1,4,-5
2241323908,1.9,6,0
2241323912,0.4,3,7
2241323916,11.1,2,-2
2241323920,3.6,5,2
2241323922,10.9,5,7
2241323927,3.5,8,9
2241323931,4.1,4,5
2241323937,0.7,4,4
2241323940,2.2,5,8
2241323946,10.7,5,9
2241323950,0.5,5,9
2241323952,2.0,4,8
